ply_file,plane_id,color_name,color_r,color_g,color_b,normal_x,normal_y,normal_z,distance,inlier_count,inlier_ratio,rmse,score,estimated_trials,configured_max_trials
a127.ply,0,rouge,1.0,0.0,0.0,-0.0003703930672024,0.0004448883612273,0.9999998324416468,0.9258504463474292,1934478,0.1890677247412371,0.029740128738245,0.5125992005885367,680,1000
a127.ply,1,vert,0.0,1.0,0.0,-0.0023236969205788,-0.0024956397356511,0.9999941860905648,-2.198818005368448,1826349,0.1784996521094754,0.0504333034737415,0.5056728872475513,808,1000
a127.ply,2,bleu,0.0,0.0,1.0,-0.0003826000154893,0.000908536501147,0.9999995140892092,-1.866625148944211,1337330,0.1307049965562796,0.0657652342055493,0.4765623092523239,2061,1000
a127.ply,3,jaune,1.0,1.0,0.0,0.0308023843416188,0.0020702847889182,0.9995233499222336,0.6449731465129861,1137041,0.1111295940338949,0.0770448374866995,0.4644979351392764,3354,1000
a127.ply,4,magenta,1.0,0.0,1.0,-0.6140744475368027,0.7892476203865615,-0.0008755549787849,-9.662048829876449,953100,0.093151976114938,0.0388154475982519,0.4547929843946313,5696,1000
a127.ply,5,cyan,0.0,1.0,1.0,-0.6130616429862145,0.7898410311272898,-0.0175090675600698,-14.740885554433088,768923,0.0751512925508619,0.0471495138629992,0.4437567794178254,10848,1000
a127.ply,0,rouge,1.0,0.0,0.0,-0.0003941454349555923,0.0009786377357568962,0.9999994434586242,0.922454047262516,1944050,0.1900032516695471,0.03114547360404783,0.5131207554747401,670,1000
a127.ply,1,vert,0.0,1.0,0.0,0.003820935101966309,-0.000512070095558391,0.9999925690919728,-2.1270035120977826,1772271,0.1732142963605051,0.04074054976455588,0.5027759098339193,884,1000
a127.ply,2,bleu,0.0,0.0,1.0,-0.0015608256860106676,0.005436701946710582,0.999984002919607,-1.9136668809334927,1393963,0.1362400672344008,0.07002035696390684,0.47976296192972523,1819,1000
a127.ply,3,jaune,1.0,1.0,0.0,-0.008872633983457672,0.025651896098670898,0.9996315604225082,0.017107400412328944,1129293,0.11037233717633696,0.07249456526042164,0.46417232138628983,3423,1000
a127.ply,4,magenta,1.0,0.0,1.0,-0.613162137407552,0.7899333027054347,-0.006129480131810872,-9.651589682803856,964672,0.09428297461205491,0.0332065601962826,0.45563027513948967,5493,1000
a127.ply,5,cyan,0.0,1.0,1.0,-0.6150763432834926,0.7883833031618703,-0.011526457764026063,-14.77040737065427,765432,0.07481009692750946,0.039717745160566885,0.44376232827451734,10997,1000
