ply_file,plane_id,normal_x,normal_y,normal_z,distance,inlier_count,inlier_ratio,rmse,score,estimated_trials,configured_max_trials
a127.ply,,,,,,,0.1923963123506658,0.0347060107370425,0.6112632950933112,645,1000.0
a127.ply,,,,,,,0.1923963123506658,0.0347060107370425,645.0,1000,
a127.ply,,,,,,,0.1923963123506658,0.0347060107370425,645.0,1000,
a127.ply,0.0,0.0001266105267949,0.0005684108548619,0.9999998304394228,0.9319068172954912,1939793.0,0.1895871904353415,0.0304998524980184,0.5128893852225673,674,1000.0
a127.ply,1.0,0.0092359399467278,-0.0002344606865733,0.9999573203099654,-2.044059683683264,1834225.0,0.179269419147437,0.0546802036405154,0.5060145903817542,798,1000.0
a127.ply,2.0,0.0134308434545139,0.0041490092782926,0.9999011942017616,-1.673062406873621,1271924.0,0.1243124898415869,0.0687659075905094,0.4726419074949203,2395,1000.0
a127.ply,3.0,0.008683477671452,-0.0095809196998555,0.9999163981019784,0.404159633066146,1131781.0,0.1106155038079327,0.0718995074580894,0.4643350572714975,3401,1000.0
a127.ply,4.0,-0.6167243320013567,0.7870708194518469,-0.0130622924817426,-9.680608357616974,927965.0,0.090695387173957,0.0386706975057384,0.4533231264288052,6171,1000.0
a127.ply,5.0,-0.6168201592068581,0.7868652938618169,-0.0193881539034178,-14.775349837002013,790015.0,0.0772127357154997,0.0528704824844466,0.4448317825681603,10002,1000.0
a127.ply,0.0,0.0025444092854555334,-0.0035521214981807108,0.9999904541615636,0.9828284249833065,1954987.0,0.19107218794356776,0.03527931624513234,0.5136451588749642,658,1000.0
a127.ply,1.0,0.04981408415422412,-0.03477510199711118,0.9981529187959961,-1.261100284766182,1751315.0,0.17116614526254617,0.0793660610361224,0.5004541917488269,917,1000.0
a127.ply,2.0,-0.6134616087023551,0.7895010204824862,-0.01878811606924936,-9.651273025702219,1156733.0,0.11305420710036791,0.033825539650249675,0.4668755019135165,3185,1000.0
a127.ply,3.0,-0.07974926944400972,0.07967496411576447,0.9936256609590446,-3.476274053329534,990487.0,0.09680602388643024,0.07503373464845894,0.45596069296658964,5074,1000.0
a127.ply,4.0,0.004848419123790272,-0.000984558433729965,0.9999877616634569,0.29515436293142777,979417.0,0.09572408875308393,0.06406270809029194,0.4556219339582418,5248,1000.0
a127.ply,5.0,-0.6144724585442264,0.7888738846577984,-0.010079275545817452,-14.760562886615151,777592.0,0.07599856406585555,0.04428227612241106,0.44434626477510863,10490,1000.0
